date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:21:00	884597/884597	---M--	200	added ('OK')	image/jpeg	etag:72c93a7f54783d75ae06121a06bb6a09	http://static.showit.co/1600/9oRRI8O5QEWRC7FB1g9pIQ/65601/e_and_dwed1532.jpg	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/1600/9oRRI8O5QEWRC7FB1g9pIQ/65601/e_and_dwed1532.jpg	(from https://amandaseasholtz.com/weddings)
13:21:02	541322/541322	---M--	200	added ('OK')	image/jpeg	etag:5e6f24f8df63079eef2241f27931aacf	http://static.showit.co/1600/2Fijy2ZNQZGhOxDMAbzTXQ/65601/e_and_dwed1553.jpg	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/1600/2Fijy2ZNQZGhOxDMAbzTXQ/65601/e_and_dwed1553.jpg	(from https://amandaseasholtz.com/weddings)
13:21:36	508733/508733	---M--	200	added ('OK')	image/jpeg	etag:cef58d2b5906c701762f9669186d2b8b	http://static.showit.co/1600/p1VmTwsvThCyS2q8lf1VYg/65601/e_and_dwed1615.jpg	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/1600/p1VmTwsvThCyS2q8lf1VYg/65601/e_and_dwed1615.jpg	(from https://amandaseasholtz.com/weddings)
13:21:52	320939/320939	---M--	200	added ('OK')	image/jpeg	etag:1a494fa68164693df94565b9040e46db	http://static.showit.co/1600/2LC-l3w0Q7SNef1pcuGDag/65601/e_and_dwed1632.jpg	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/1600/2LC-l3w0Q7SNef1pcuGDag/65601/e_and_dwed1632.jpg	(from https://amandaseasholtz.com/weddings)
13:22:07	793550/793550	---M--	200	added ('OK')	image/jpeg	etag:ea4fd7a33b468239a51424f51b1a02f3	http://static.showit.co/1600/vi0vMuHDQt2_rvB5ptmLNA/65601/e_and_dwed1591.jpg	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/1600/vi0vMuHDQt2_rvB5ptmLNA/65601/e_and_dwed1591.jpg	(from https://amandaseasholtz.com/weddings)
13:22:21	488665/488665	---M--	200	added ('OK')	image/jpeg	etag:f4c38a933113d95f2df36401c1e2bedf	http://static.showit.co/1600/2VpEBmqBSZKu_ik_KFVfpg/65601/e_and_dwed1645.jpg	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/1600/2VpEBmqBSZKu_ik_KFVfpg/65601/e_and_dwed1645.jpg	(from https://amandaseasholtz.com/weddings)
13:22:53	480084/480084	---M--	200	added ('OK')	image/jpeg	etag:b6c194e639277b69e23bee963d473cbb	http://static.showit.co/1600/TV4JWq8lT6-ejF5xtmouPw/65601/e_and_dwed1647.jpg	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/1600/TV4JWq8lT6-ejF5xtmouPw/65601/e_and_dwed1647.jpg	(from https://amandaseasholtz.com/weddings)
13:23:11	488883/488883	---M--	200	added ('OK')	image/jpeg	etag:90bfbb2978bec04cb06657c05132bce7	http://static.showit.co/1600/NFmOtrDRSACdvCypMaKNeQ/65601/e_and_dwed1749.jpg	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/1600/NFmOtrDRSACdvCypMaKNeQ/65601/e_and_dwed1749.jpg	(from https://amandaseasholtz.com/weddings)
13:23:44	507519/507519	---M--	200	added ('OK')	image/jpeg	etag:9f99e7f4bac93b67ba89bb034278a17a	http://static.showit.co/1600/PW-QuoARSLexAQeszIKWYw/65601/e_and_dwed1775.jpg	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/1600/PW-QuoARSLexAQeszIKWYw/65601/e_and_dwed1775.jpg	(from https://amandaseasholtz.com/weddings)
13:24:11	768209/768209	---M--	200	added ('OK')	image/jpeg	etag:f09aca3da84b3b578c201d3791d9df3a	http://static.showit.co/1600/OQ7M8WieSSSSDOJtdDKA9w/65601/e_and_dwed1758.jpg	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/1600/OQ7M8WieSSSSDOJtdDKA9w/65601/e_and_dwed1758.jpg	(from https://amandaseasholtz.com/weddings)
13:24:41	555701/555701	---M--	200	added ('OK')	image/jpeg	etag:bba5d16048dff2f1199d3adc01505be3	http://static.showit.co/1600/4oVXp5eiR6qC0F06bSs9Eg/65601/e_and_dwed1811.jpg	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/1600/4oVXp5eiR6qC0F06bSs9Eg/65601/e_and_dwed1811.jpg	(from https://amandaseasholtz.com/weddings)
13:25:03	799623/799623	---M--	200	added ('OK')	image/jpeg	etag:fccbf3c1d37ce05488290cbd15d61b99	http://static.showit.co/1600/hUzTwk80QGy_rZcNvZazUg/65601/e_and_dwed1788.jpg	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/1600/hUzTwk80QGy_rZcNvZazUg/65601/e_and_dwed1788.jpg	(from https://amandaseasholtz.com/weddings)
13:26:00	839979/839979	---M--	200	added ('OK')	image/jpeg	etag:1cf59b9349768316c24b51b5d9620a47	http://static.showit.co/1600/7HVbA8KORD2pCiUT4g5kPA/65601/e_and_dwed1924.jpg	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/1600/7HVbA8KORD2pCiUT4g5kPA/65601/e_and_dwed1924.jpg	(from https://amandaseasholtz.com/weddings)
13:26:05	705743/705743	---M--	200	added ('OK')	image/jpeg	etag:4d3c81899979fd7425967a026b68af48	http://static.showit.co/1600/WONKros3SaC3h34-tz7VEQ/65601/a_and_nwed0149.jpg	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/1600/WONKros3SaC3h34-tz7VEQ/65601/a_and_nwed0149.jpg	(from https://amandaseasholtz.com/weddings)
13:26:26	647047/647047	---M--	200	added ('OK')	image/jpeg	etag:273426b84be061d7ace234a916302344	http://static.showit.co/1600/iEF6fZeWRIyonGJmbOTrzw/65601/a_and_nwed0075.jpg	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/1600/iEF6fZeWRIyonGJmbOTrzw/65601/a_and_nwed0075.jpg	(from https://amandaseasholtz.com/weddings)
13:26:58	360463/360463	---M--	200	added ('OK')	image/jpeg	etag:6edf79f9ff85df2748b0be9224491618	http://static.showit.co/1600/9YBFtVbpQ_KyWWaOR4g4_g/65601/a_and_nwed0816.jpg	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/1600/9YBFtVbpQ_KyWWaOR4g4_g/65601/a_and_nwed0816.jpg	(from https://amandaseasholtz.com/weddings)
13:27:14	812767/812767	---M--	200	added ('OK')	image/jpeg	etag:d14b70af54728443765d3586e199b409	http://static.showit.co/1600/rLHbSH9LRR6nMp-Ibj_64A/65601/a_and_nwed0536.jpg	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/1600/rLHbSH9LRR6nMp-Ibj_64A/65601/a_and_nwed0536.jpg	(from https://amandaseasholtz.com/weddings)
13:28:25	864019/864019	---M--	200	added ('OK')	image/jpeg	etag:5c69d0f40070615a01c93537c91ba41d	http://static.showit.co/1600/9J_XF4y7SUyLVlOp_STgWg/65601/a_and_nwed0123.jpg	C:/Users/mandy/Desktop/Website/Amanda_Daseasholtz/web/static.showit.co/1600/9J_XF4y7SUyLVlOp_STgWg/65601/a_and_nwed0123.jpg	(from https://amandaseasholtz.com/weddings)
